,employer_name,rating
817,Gannett,3.0
818,Vivint,3.6
819,Paylocity,3.9
820,Omni Hotels,3.9
821,TSA (Transportation Security Administration),3.1
822,Publicis Groupe,3.9
823,Insight,3.8
824,Ferguson Enterprises,3.6
825,Morningstar,4.1
826,University of Virginia,4.3
827,Journeys,3.2
828,Regeneron,3.9
829,Macquarie Group,4.4
830,Tesco,3.7
831,Cox Automotive,4.0
832,Houston Methodist,4.3
833,TE Connectivity,3.8
834,Claire's Stores,2.9
835,Equifax,3.5
836,Medline Industries,3.6
837,Agilent Technologies,4.2
838,Pratt & Whitney,3.8
839,WestRock,3.5
840,Equinox,3.5
841,Dallas Independent School District,3.3
842,Confidential,4.0
843,Discount Tire,3.9
844,LexisNexis Legal & Professional,4.0
845,Change Healthcare,3.4
846,KBR,4.0
847,P.F. Chang's,3.8
848,Primark,3.5
849,Cadence Design Systems,4.3
850,Appen,3.7
851,Vans,4.0
852,Turner Construction,4.2
853,Indiana University Health,3.5
854,Capital Group,4.1
855,University of South Florida,4.1
856,Palo Alto Networks,4.2
857,ASML,4.1
858,Los Angeles USD,3.6
859,Molina Healthcare,3.4
860,DHL Express,3.9
861,Red Ventures,3.4
862,Yardi Systems,4.1
863,Varsity Tutors,3.3
864,The World Bank,4.1
865,Jersey Mike's,3.7
866,Geek Squad,3.7
867,Merkle,3.7
868,OpenText,3.6
869,CHRISTUS Health,3.5
870,MGM Resorts International,3.7
871,KPIT Technologies,3.9
872,MassMutual,4.0
873,Morrison Healthcare,3.5
874,Saks Fifth Avenue Stores (SFA),3.2
875,UCHealth,3.7
876,ABM Industries,3.2
877,Four Seasons,4.1
878,Jabil,3.8
879,Raymond James Financial,4.1
880,KPMG US,3.9
881,Arrow Electronics,3.7
882,Teradata,3.9
883,G4S Secure Solutions,3.5
884,Acosta,3.3
885,TransPerfect,3.1
886,Biogen,3.9
887,OneMain Financial,3.4
888,AXA,4.0
889,University of Iowa,4.2
890,HARMAN,3.9
891,Sogeti,3.5
892,Glassdoor,4.3
893,VCA,3.2
894,Boys & Girls Clubs of America,3.8
895,Other,4.1
896,Broadridge,4.0
897,Garmin,4.0
898,University of Kentucky,4.0
899,Trane Technologies,3.9
900,Vodafone,4.0
901,CompuCom,3.4
902,Block,4.2
903,Korn Ferry,3.6
904,Penske Truck Leasing,3.6
905,University of Missouri,3.8
906,University of Central Florida,4.1
907,George Washington University,4.0
908,Hampton Inn by Hilton,3.5
909,Experis,3.6
910,Perficient,4.1
911,Sabre,3.8
912,Safran,3.9
913,SkyWest Airlines,3.7
914,Wellstar Health System,3.6
915,Stantec,3.9
916,Luxottica,3.6
917,Nestlé USA,3.8
918,Ingram Micro,3.9
919,Jewel-Osco,3.4
920,FTI Consulting,4.1
921,Iowa State University,4.3
922,International Paper,3.6
923,BNSF Railway,2.6
924,G4S,3.6
925,Popeyes,3.2
926,Avaya,3.5
927,TruGreen,3.0
928,NASA,4.5
929,Bechtel,4.1
930,Ally Financial,3.7
931,Duke Energy,3.9
932,E. & J. Gallo Winery,4.2
933,Rent-A-Center,3.0
934,Honda,4.0
935,TransUnion,3.9
936,Vanderbilt University,4.1
937,Teach for America,3.9
938,Jack in the Box,3.4
939,Premium Retail Services,3.4
940,Oregon Health & Science University,3.7
941,Florida State University,4.3
942,ALSTOM,3.8
943,Follett,3.1
944,FDM Group,3.3
945,Harbor Freight Tools,3.7
946,Marvell Technology,4.1
947,University of Phoenix,4.1
948,Cengage Group,4.1
949,Bank of the West,3.5
950,Thoughtworks,4.0
951,Scotiabank,4.0
952,Carter's,3.7
953,The Goddard School,3.4
954,TechnipFMC,4.1
955,Panasonic,3.7
956,OfficeMax,3.3
957,Bosch,4.2
958,Aaron's,3.3
959,Cencora,3.6
960,Lincoln Financial Group,3.6
961,Aéropostale,3.5
962,Neiman Marcus,3.3
963,Fisher Investments,4.0
964,T. Rowe Price,3.8
965,eXp Realty,4.6
966,Frontier,3.1
967,Analog Devices,4.1
968,Denny's,3.4
969,Aveanna Healthcare,3.6
970,Umbrella Corporation,4.3
971,Techtronic Industries North America,3.7
972,Unum,3.8
973,Baylor College of Medicine,3.8
974,Culver's,3.5
975,Compass,3.6
976,Allianz,4.0
977,XYZ,3.8
978,Rolls-Royce,3.9
979,TGI Fridays,3.4
980,Planned Parenthood,3.4
981,Emory Healthcare,3.6
982,Atlassian,4.4
983,Corning,3.8
984,Huron Consulting Group,4.3
985,Wyndham Destinations,3.6
986,GlobalLogic,3.9
987,Lam Research,4.0
988,Kaplan,3.6
989,Allscripts,3.9
990,SS&C,3.1
991,BJC HealthCare,3.7
992,francesca's,3.4
993,Crate and Barrel,3.4
994,American Family Insurance,3.2
995,Uline,3.6
996,M·A·C Cosmetics,3.6
